slot,round,player,position,count,pct,n_sims
2,8,Jaylen Warren,RB,21,21.0,100
2,8,Brock Purdy,QB,13,13.0,100
2,8,Chuba Hubbard,RB,11,11.0,100
2,8,Aaron Jones,RB,9,9.0,100
2,8,Bo Nix,QB,6,6.0,100
2,8,Patrick Mahomes,QB,5,5.0,100
2,8,Alec Pierce,WR,3,3.0,100
2,8,Josh Downs,WR,2,2.0,100
2,8,Parker Washington,WR,2,2.0,100
2,9,Aaron Jones,RB,27,27.0,100
2,9,Chuba Hubbard,RB,19,19.0,100
2,9,Josh Downs,WR,19,19.0,100
2,9,Rico Dowdle,RB,13,13.0,100
2,9,Jared Goff,QB,8,8.0,100
2,9,Kenny Gainwell,RB,7,7.0,100
2,9,Patrick Mahomes,QB,4,4.0,100
2,9,Jaylen Warren,RB,3,3.0,100
2,10,Josh Downs,WR,36,36.0,100
2,10,Rashid Shaheed,WR,23,23.0,100
2,10,Jared Goff,QB,18,18.0,100
2,10,Kenny Gainwell,RB,9,9.0,100
2,10,RJ Harvey,RB,5,5.0,100
2,10,J.K. Dobbins,RB,4,4.0,100
2,10,Aaron Jones,RB,3,3.0,100
2,10,Jakobi Meyers,WR,1,1.0,100
2,10,Jordan Love,QB,1,1.0,100
2,11,Khalil Shakir,WR,48,48.0,100
2,11,Quentin Johnston,WR,38,38.0,100
2,11,Jordan Love,QB,5,5.0,100
2,11,Josh Downs,WR,2,2.0,100
2,11,Rachaad White,RB,2,2.0,100
2,11,Jacory Croskey-Merritt,RB,2,2.0,100
2,11,Kyle Monangai,RB,1,1.0,100
2,11,Tre Tucker,WR,1,1.0,100
2,11,Jordan Addison,WR,1,1.0,100
2,12,Quentin Johnston,WR,29,29.0,100
2,12,Jacory Croskey-Merritt,RB,23,23.0,100
2,12,Tre Tucker,WR,15,15.0,100
2,12,Xavier Worthy,WR,12,12.0,100
2,12,Blake Corum,RB,11,11.0,100
2,12,Josh Downs,WR,8,8.0,100
2,12,Kenny Gainwell,RB,1,1.0,100
2,12,Jordan Mason,RB,1,1.0,100
2,13,Tre Tucker,WR,31,31.0,100
2,13,Jordan Mason,RB,18,18.0,100
2,13,Xavier Worthy,WR,14,14.0,100
2,13,Zach Charbonnet,RB,14,14.0,100
2,13,Jacory Croskey-Merritt,RB,9,9.0,100
2,13,Blake Corum,RB,8,8.0,100
2,13,Josh Downs,WR,2,2.0,100
2,13,Alvin Kamara,RB,2,2.0,100
2,13,Isiah Pacheco,RB,1,1.0,100
2,13,Rashid Shaheed,WR,1,1.0,100
2,14,Tre Tucker,WR,50,50.0,100
2,14,Zach Charbonnet,RB,23,23.0,100
2,14,Alvin Kamara,RB,11,11.0,100
2,14,Jordan Mason,RB,11,11.0,100
2,14,Xavier Worthy,WR,2,2.0,100
2,14,Jerry Jeudy,WR,2,2.0,100
2,14,Isiah Pacheco,RB,1,1.0,100
2,15,Alvin Kamara,RB,25,25.0,100
2,15,Jerry Jeudy,WR,24,24.0,100
2,15,Zach Charbonnet,RB,20,20.0,100
2,15,Jordan Mason,RB,15,15.0,100
2,15,Isiah Pacheco,RB,10,10.0,100
2,15,Chris Rodriguez,RB,4,4.0,100
2,15,Brenton Strange,TE,1,1.0,100
2,15,Terrance Ferguson,TE,1,1.0,100
2,16,Jake Bates,K,33,33.0,100
2,16,Harrison Butker,K,28,28.0,100
2,16,Tyler Loop,K,14,14.0,100
2,16,Eddy Pineiro,K,13,13.0,100
2,16,Cairo Santos,K,10,10.0,100
2,16,Chase McLaughlin,K,2,2.0,100
3,1,Bijan Robinson,RB,44,44.0,100
3,1,Puka Nacua,WR,39,39.0,100
3,1,Jahmyr Gibbs,RB,17,17.0,100
3,2,Josh Allen,QB,47,47.0,100
3,2,Chase Brown,RB,27,27.0,100
3,2,Omarion Hampton,RB,10,10.0,100
3,2,Drake London,WR,9,9.0,100
3,2,Rashee Rice,WR,2,2.0,100
3,2,Brock Bowers,TE,2,2.0,100
3,2,Derrick Henry,RB,1,1.0,100
3,2,Trey McBride,TE,1,1.0,100
3,2,Ashton Jeanty,RB,1,1.0,100
3,3,Kenneth Walker,RB,29,29.0,100
3,3,Chase Brown,RB,19,19.0,100
3,3,Josh Jacobs,RB,13,13.0,100
3,3,A.J. Brown,WR,12,12.0,100
3,3,Chris Olave,WR,9,9.0,100
3,3,Brock Bowers,TE,9,9.0,100
3,3,Nico Collins,WR,9,9.0,100
3,4,Ladd McConkey,WR,45,45.0,100
3,4,Malik Nabers,WR,14,14.0,100
3,4,Travis Etienne,RB,11,11.0,100
3,4,Tyler Warren,TE,7,7.0,100
3,4,Terry McLaurin,WR,6,6.0,100
3,4,Colston Loveland,TE,5,5.0,100
3,4,Cam Skattebo,RB,5,5.0,100
3,4,Bucky Irving,RB,4,4.0,100
3,4,Zay Flowers,WR,2,2.0,100
3,4,Quinshon Judkins,RB,1,1.0,100
3,5,Terry McLaurin,WR,26,26.0,100
3,5,Bucky Irving,RB,25,25.0,100
3,5,D'Andre Swift,RB,15,15.0,100
3,5,Ladd McConkey,WR,14,14.0,100
3,5,Quinshon Judkins,RB,10,10.0,100
3,5,Parker Washington,WR,7,7.0,100
3,5,Travis Etienne,RB,2,2.0,100
3,5,Malik Nabers,WR,1,1.0,100
3,6,Travis Kelce,TE,37,37.0,100
3,6,Parker Washington,WR,22,22.0,100
3,6,Matthew Stafford,QB,14,14.0,100
3,6,Bhayshul Tuten,RB,8,8.0,100
3,6,D'Andre Swift,RB,4,4.0,100
3,6,David Montgomery,RB,3,3.0,100
3,6,Luther Burden,WR,2,2.0,100
3,6,Alec Pierce,WR,2,2.0,100
3,6,Tony Pollard,RB,2,2.0,100
3,6,George Kittle,TE,2,2.0,100
3,6,Sam LaPorta,TE,1,1.0,100
3,6,Harold Fannin,TE,1,1.0,100
3,6,TreVeyon Henderson,RB,1,1.0,100
3,6,Jaylen Warren,RB,1,1.0,100
3,7,Parker Washington,WR,41,41.0,100
3,7,Travis Kelce,TE,34,34.0,100
3,7,Tony Pollard,RB,11,11.0,100
3,7,Bhayshul Tuten,RB,4,4.0,100
3,7,Alec Pierce,WR,4,4.0,100
3,7,Mike Evans,WR,3,3.0,100
3,7,David Montgomery,RB,2,2.0,100
3,7,George Kittle,TE,1,1.0,100
3,8,Rico Dowdle,RB,31,31.0,100
3,8,Jaylen Warren,RB,19,19.0,100
3,8,Brock Purdy,QB,11,11.0,100
3,8,Chuba Hubbard,RB,11,11.0,100
3,8,Parker Washington,WR,9,9.0,100
3,8,Bo Nix,QB,5,5.0,100
3,8,Alec Pierce,WR,4,4.0,100
3,8,Aaron Jones,RB,4,4.0,100
3,8,Josh Downs,WR,3,3.0,100
3,8,Kenny Gainwell,RB,1,1.0,100
3,8,Patrick Mahomes,QB,1,1.0,100
3,8,Dak Prescott,QB,1,1.0,100
3,9,Aaron Jones,RB,31,31.0,100
3,9,Josh Downs,WR,22,22.0,100
3,9,Chuba Hubbard,RB,21,21.0,100
3,9,Rico Dowdle,RB,10,10.0,100
3,9,Kenny Gainwell,RB,9,9.0,100
3,9,Jaylen Warren,RB,3,3.0,100
3,9,Jared Goff,QB,2,2.0,100
3,9,J.K. Dobbins,RB,1,1.0,100
3,9,Bo Nix,QB,1,1.0,100
3,10,Josh Downs,WR,38,38.0,100
3,10,Rashid Shaheed,WR,25,25.0,100
3,10,Kenny Gainwell,RB,14,14.0,100
3,10,Jared Goff,QB,13,13.0,100
3,10,J.K. Dobbins,RB,4,4.0,100
3,10,RJ Harvey,RB,3,3.0,100
3,10,Jordan Love,QB,2,2.0,100
3,10,Aaron Jones,RB,1,1.0,100
3,11,Khalil Shakir,WR,53,53.0,100
3,11,Quentin Johnston,WR,33,33.0,100
3,11,Jordan Love,QB,3,3.0,100
3,11,Jacory Croskey-Merritt,RB,3,3.0,100
3,11,Josh Downs,WR,3,3.0,100
3,11,RJ Harvey,RB,2,2.0,100
3,11,Ricky Pearsall,WR,1,1.0,100
3,11,Kyle Monangai,RB,1,1.0,100
3,11,Blake Corum,RB,1,1.0,100
3,12,Jacory Croskey-Merritt,RB,29,29.0,100
3,12,Quentin Johnston,WR,28,28.0,100
3,12,Tre Tucker,WR,18,18.0,100
3,12,Xavier Worthy,WR,16,16.0,100
3,12,Blake Corum,RB,4,4.0,100
3,12,Josh Downs,WR,2,2.0,100
3,12,Jordan Mason,RB,1,1.0,100
3,12,Khalil Shakir,WR,1,1.0,100
3,12,RJ Harvey,RB,1,1.0,100
3,13,Tre Tucker,WR,29,29.0,100
3,13,Jordan Mason,RB,22,22.0,100
3,13,Zach Charbonnet,RB,17,17.0,100
3,13,Xavier Worthy,WR,11,11.0,100
3,13,Jacory Croskey-Merritt,RB,10,10.0,100
3,13,Blake Corum,RB,4,4.0,100
3,13,Alvin Kamara,RB,3,3.0,100
3,13,Jerry Jeudy,WR,2,2.0,100
3,13,Josh Downs,WR,2,2.0,100
3,14,Tre Tucker,WR,44,44.0,100
3,14,Zach Charbonnet,RB,22,22.0,100
3,14,Alvin Kamara,RB,12,12.0,100
3,14,Jordan Mason,RB,11,11.0,100
3,14,Jerry Jeudy,WR,7,7.0,100
3,14,Blake Corum,RB,2,2.0,100
3,14,Tyrone Tracy,RB,1,1.0,100
3,14,Isiah Pacheco,RB,1,1.0,100
3,15,Jerry Jeudy,WR,31,31.0,100
3,15,Alvin Kamara,RB,21,21.0,100
3,15,Zach Charbonnet,RB,17,17.0,100
3,15,Jordan Mason,RB,10,10.0,100
3,15,Isiah Pacheco,RB,9,9.0,100
3,15,Chris Rodriguez,RB,5,5.0,100
3,15,Brenton Strange,TE,5,5.0,100
3,15,Woody Marks,RB,1,1.0,100
3,15,Tre Tucker,WR,1,1.0,100
3,16,Jake Bates,K,28,28.0,100
3,16,Harrison Butker,K,28,28.0,100
3,16,Eddy Pineiro,K,19,19.0,100
3,16,Tyler Loop,K,15,15.0,100
3,16,Cairo Santos,K,5,5.0,100
3,16,Chase McLaughlin,K,3,3.0,100
3,16,Cam Little,K,1,1.0,100
3,16,Harrison Mevis,K,1,1.0,100
4,1,Ja'Marr Chase,WR,37,37.0,100
4,1,Puka Nacua,WR,35,35.0,100
4,1,Bijan Robinson,RB,24,24.0,100
4,1,Jahmyr Gibbs,RB,4,4.0,100
4,2,Josh Allen,QB,51,51.0,100
4,2,Omarion Hampton,RB,16,16.0,100
4,2,Drake London,WR,11,11.0,100
4,2,Chase Brown,RB,11,11.0,100
4,2,Ashton Jeanty,RB,7,7.0,100
4,2,Rashee Rice,WR,3,3.0,100
4,2,Trey McBride,TE,1,1.0,100
4,3,Kenneth Walker,RB,31,31.0,100
4,3,Nico Collins,WR,17,17.0,100
4,3,Chase Brown,RB,15,15.0,100
4,3,Javonte Williams,RB,12,12.0,100
4,3,Josh Jacobs,RB,10,10.0,100
4,3,A.J. Brown,WR,9,9.0,100
4,3,Brock Bowers,TE,3,3.0,100
4,3,Zay Flowers,WR,2,2.0,100
4,3,Chris Olave,WR,1,1.0,100
4,4,Ladd McConkey,WR,28,28.0,100
4,4,Travis Etienne,RB,20,20.0,100
4,4,Malik Nabers,WR,16,16.0,100
4,4,Bucky Irving,RB,13,13.0,100
4,4,Cam Skattebo,RB,6,6.0,100
4,4,Terry McLaurin,WR,4,4.0,100
4,4,Colston Loveland,TE,4,4.0,100
4,4,Tyler Warren,TE,4,4.0,100
4,4,Zay Flowers,WR,3,3.0,100
4,4,Quinshon Judkins,RB,1,1.0,100
4,4,Kyren Williams,RB,1,1.0,100
4,5,Bucky Irving,RB,29,29.0,100
4,5,D'Andre Swift,RB,28,28.0,100
4,5,Terry McLaurin,WR,18,18.0,100
4,5,Ladd McConkey,WR,10,10.0,100
4,5,Parker Washington,WR,7,7.0,100
4,5,Quinshon Judkins,RB,6,6.0,100
4,5,TreVeyon Henderson,RB,1,1.0,100
4,5,Travis Etienne,RB,1,1.0,100
4,6,Travis Kelce,TE,55,55.0,100
4,6,Parker Washington,WR,17,17.0,100
4,6,Bhayshul Tuten,RB,10,10.0,100
4,6,D'Andre Swift,RB,7,7.0,100
4,6,Matthew Stafford,QB,6,6.0,100
4,6,David Montgomery,RB,2,2.0,100
4,6,Harold Fannin,TE,2,2.0,100
4,6,Tony Pollard,RB,1,1.0,100
4,7,Parker Washington,WR,48,48.0,100
4,7,Travis Kelce,TE,28,28.0,100
4,7,Tony Pollard,RB,9,9.0,100
4,7,Alec Pierce,WR,6,6.0,100
4,7,Bhayshul Tuten,RB,4,4.0,100
4,7,George Kittle,TE,3,3.0,100
4,7,Mike Evans,WR,2,2.0,100
4,8,Rico Dowdle,RB,28,28.0,100
4,8,Jaylen Warren,RB,20,20.0,100
4,8,Brock Purdy,QB,16,16.0,100
4,8,Bo Nix,QB,12,12.0,100
4,8,Chuba Hubbard,RB,11,11.0,100
4,8,Parker Washington,WR,4,4.0,100
4,8,Aaron Jones,RB,2,2.0,100
4,8,Alec Pierce,WR,2,2.0,100
4,8,Josh Downs,WR,2,2.0,100
4,8,Michael Pittman,WR,1,1.0,100
4,8,Tony Pollard,RB,1,1.0,100
4,8,Patrick Mahomes,QB,1,1.0,100
4,9,Aaron Jones,RB,27,27.0,100
4,9,Josh Downs,WR,26,26.0,100
4,9,Rico Dowdle,RB,19,19.0,100
4,9,Chuba Hubbard,RB,16,16.0,100
4,9,Kenny Gainwell,RB,5,5.0,100
4,9,J.K. Dobbins,RB,2,2.0,100
4,9,Jaylen Warren,RB,2,2.0,100
4,9,Christian Watson,WR,2,2.0,100
4,9,Jared Goff,QB,1,1.0,100
4,10,Josh Downs,WR,36,36.0,100
4,10,Rashid Shaheed,WR,19,19.0,100
4,10,Kenny Gainwell,RB,17,17.0,100
4,10,Jared Goff,QB,11,11.0,100
4,10,J.K. Dobbins,RB,6,6.0,100
4,10,Aaron Jones,RB,6,6.0,100
4,10,RJ Harvey,RB,5,5.0,100
4,11,Quentin Johnston,WR,43,43.0,100
4,11,Khalil Shakir,WR,42,42.0,100
4,11,Jacory Croskey-Merritt,RB,6,6.0,100
4,11,Josh Downs,WR,3,3.0,100
4,11,Jordan Love,QB,2,2.0,100
4,11,Rachaad White,RB,2,2.0,100
4,11,Blake Corum,RB,1,1.0,100
4,11,Tre Tucker,WR,1,1.0,100
4,12,Quentin Johnston,WR,24,24.0,100
4,12,Jacory Croskey-Merritt,RB,21,21.0,100
4,12,Xavier Worthy,WR,21,21.0,100
4,12,Tre Tucker,WR,20,20.0,100
4,12,Blake Corum,RB,7,7.0,100
4,12,Josh Downs,WR,5,5.0,100
4,12,Khalil Shakir,WR,2,2.0,100
4,13,Tre Tucker,WR,37,37.0,100
4,13,Jordan Mason,RB,23,23.0,100
4,13,Zach Charbonnet,RB,13,13.0,100
4,13,Xavier Worthy,WR,10,10.0,100
4,13,Blake Corum,RB,5,5.0,100
4,13,Jacory Croskey-Merritt,RB,5,5.0,100
4,13,Alvin Kamara,RB,4,4.0,100
4,13,Josh Downs,WR,2,2.0,100
4,13,Jerry Jeudy,WR,1,1.0,100
4,14,Tre Tucker,WR,35,35.0,100
4,14,Zach Charbonnet,RB,21,21.0,100
4,14,Jordan Mason,RB,20,20.0,100
4,14,Alvin Kamara,RB,15,15.0,100
4,14,Jerry Jeudy,WR,7,7.0,100
4,14,Xavier Worthy,WR,1,1.0,100
4,14,Isiah Pacheco,RB,1,1.0,100
4,15,Alvin Kamara,RB,26,26.0,100
4,15,Zach Charbonnet,RB,26,26.0,100
4,15,Jerry Jeudy,WR,25,25.0,100
4,15,Isiah Pacheco,RB,8,8.0,100
4,15,Jordan Mason,RB,6,6.0,100
4,15,Chris Rodriguez,RB,5,5.0,100
4,15,Brenton Strange,TE,2,2.0,100
4,15,Terrance Ferguson,TE,1,1.0,100
4,15,Tyrone Tracy,RB,1,1.0,100
4,16,Eddy Pineiro,K,29,29.0,100
4,16,Jake Bates,K,29,29.0,100
4,16,Tyler Loop,K,21,21.0,100
4,16,Harrison Butker,K,15,15.0,100
4,16,Cairo Santos,K,5,5.0,100
4,16,Ka'imi Fairbairn,K,1,1.0,100
5,1,Ja'Marr Chase,WR,42,42.0,100
5,1,Christian McCaffrey,RB,39,39.0,100
5,1,Puka Nacua,WR,15,15.0,100
5,1,Bijan Robinson,RB,4,4.0,100
5,2,Josh Allen,QB,64,64.0,100
5,2,Trey McBride,TE,8,8.0,100
5,2,Drake London,WR,8,8.0,100
5,2,Ashton Jeanty,RB,7,7.0,100
5,2,Omarion Hampton,RB,6,6.0,100
5,2,Rashee Rice,WR,5,5.0,100
5,2,Chase Brown,RB,2,2.0,100
5,3,Javonte Williams,RB,44,44.0,100
5,3,Kenneth Walker,RB,18,18.0,100
5,3,Chase Brown,RB,11,11.0,100
5,3,Nico Collins,WR,11,11.0,100
5,3,A.J. Brown,WR,7,7.0,100
5,3,Chris Olave,WR,6,6.0,100
5,3,Josh Jacobs,RB,3,3.0,100
5,4,Ladd McConkey,WR,30,30.0,100
5,4,Travis Etienne,RB,27,27.0,100
5,4,Malik Nabers,WR,19,19.0,100
5,4,Bucky Irving,RB,7,7.0,100
5,4,Cam Skattebo,RB,7,7.0,100
5,4,Zay Flowers,WR,5,5.0,100
5,4,Kyren Williams,RB,3,3.0,100
5,4,Tyler Warren,TE,1,1.0,100
5,4,Colston Loveland,TE,1,1.0,100
5,5,D'Andre Swift,RB,28,28.0,100
5,5,Terry McLaurin,WR,27,27.0,100
5,5,Parker Washington,WR,17,17.0,100
5,5,Bucky Irving,RB,14,14.0,100
5,5,Ladd McConkey,WR,9,9.0,100
5,5,Quinshon Judkins,RB,4,4.0,100
5,5,TreVeyon Henderson,RB,1,1.0,100
5,6,Travis Kelce,TE,44,44.0,100
5,6,Bhayshul Tuten,RB,17,17.0,100
5,6,Parker Washington,WR,11,11.0,100
5,6,D'Andre Swift,RB,8,8.0,100
5,6,David Montgomery,RB,8,8.0,100
5,6,Matthew Stafford,QB,7,7.0,100
5,6,Kyle Pitts,TE,1,1.0,100
5,6,TreVeyon Henderson,RB,1,1.0,100
5,6,Sam LaPorta,TE,1,1.0,100
5,6,Alec Pierce,WR,1,1.0,100
5,6,Tony Pollard,RB,1,1.0,100
5,7,Parker Washington,WR,44,44.0,100
5,7,Travis Kelce,TE,38,38.0,100
5,7,Tony Pollard,RB,4,4.0,100
5,7,Alec Pierce,WR,4,4.0,100
5,7,Tucker Kraft,TE,3,3.0,100
5,7,George Kittle,TE,3,3.0,100
5,7,Mike Evans,WR,2,2.0,100
5,7,Bhayshul Tuten,RB,1,1.0,100
5,7,Luther Burden,WR,1,1.0,100
5,8,Rico Dowdle,RB,30,30.0,100
5,8,Jaylen Warren,RB,23,23.0,100
5,8,Chuba Hubbard,RB,16,16.0,100
5,8,Brock Purdy,QB,14,14.0,100
5,8,Alec Pierce,WR,5,5.0,100
5,8,Bo Nix,QB,4,4.0,100
5,8,Parker Washington,WR,4,4.0,100
5,8,Patrick Mahomes,QB,2,2.0,100
